"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","29","12",5,1.16,148.143644255993,0,0,0,0
"2015","29","13",5,3.004,89.0258069957677,0,0,0,0
"2015","29","14",5,3.842,206.368605819373,0,0,0,0
"2015","29","15",38,3.18763157894737,106.887804344523,1,1,1,1
"2015","29","16",3,4.84333333333333,42.6491964199303,0,0,0,0
"2015","29","17",1,20.12,91.4910979755764,0,0,0,0
"2015","29","18",4,2.5125,38.1883300368337,0,0,0,1
"2015","29","19",6,23.865,399.920432854881,0,0,0,0
"2015","29","21",4,6.9025,17.2639574412099,0,0,0,0
"2015","29","22",3,14.82,8.3342041999269,0,0,0,0
"2015","29","23",5,1.126,21.3067044203884,0,0,0,0
"2015","29","24",9,300.968888888889,60.9269553152231,0,0,0,0
"2015","29","25",6,4.01666666666667,1005.97583490176,0,0,0,0
"2015","29","26",4,8.3,19.1600024129787,0,0,0,0
"2015","29","27",22,5.12181818181818,64.8088618221359,0,0,0,0
"2015","29","29",3,2.28333333333333,15.4541044817562,0,0,0,0
"2015","29","30",2,0.31,5.39108845308369,0,0,0,0
"2015","29","32",35,11.6671428571429,219.460066973532,1,1,1,1
"2015","29","33",17,23.3317647058824,21.1826207333671,0,0,0,0
"2015","29","34",3,5.77333333333333,88.1588281586775,0,0,0,0
"2015","29","36",13,0.567692307692308,14.3324921491244,0,0,0,0
"2015","29","37",11,2.19272727272727,76.0415370393057,0,0,1,1
"2015","29","40",0,0,0,0,0,0,0
"2015","29","41",9,1.38555555555556,61.2690902382754,0,0,0,1
"2015","29","42",2,10.385,8.56387774637414,0,0,0,0
"2015","29","43",0,0,0,0,0,0,0
"2015","29","44",7,1.12142857142857,90.8890500502244,0,0,0,1
"2015","29","45",12,95.1875,369.471076522794,0,1,1,1
"2015","29","46",5,2.72,67.408259562356,0,0,0,0
"2015","29","47",0,0,0,0,0,0,0
"2015","29","49",1,0.57,17.2543232044314,0,0,0,0
"2015","29","50",4,0.5825,382.465233928158,0,0,0,0
"2015","30","2",1,0.59,4.3513717798765,0,0,0,0
"2015","30","3",3,4.25666666666667,20.624758921659,0,0,0,0
"2015","30","4",0,0,0,0,0,0,0
"2015","30","5",5,0.586,43.5316166687929,0,0,0,0
"2015","30","6",9,14.3077777777778,78.2581252526022,0,1,1,1
"2015","30","8",3,421.693333333333,16.707537719471,0,0,0,0
"2015","30","9",5,3.854,55.1781966349632,0,0,0,0
"2015","30","10",6,0.713333333333333,304.433229121497,0,0,0,0
"2015","30","11",1,53.37,8.17912743317229,0,0,0,0
"2015","30","12",3,1.46666666666667,87.6932368603813,0,0,0,0
"2015","30","13",3,16.4666666666667,33.4787311077389,0,0,0,0
"2015","30","14",5,2.766,385.012828406135,0,0,0,1
"2015","30","15",26,5.59653846153846,40.2978842902657,0,0,0,0
"2015","30","16",7,4.71714285714286,239.83687618732,0,0,1,1
"2015","30","17",2,22.065,5.77544203809418,0,0,0,0
"2015","30","18",1,4.36,4.25363061070498,0,0,0,0
"2015","30","19",6,2.93833333333333,90.3969311637938,0,0,0,0
"2015","30","21",4,31.29,291.187904651365,0,0,0,0
"2015","30","22",1,0.32,1.56150709450055,0,0,0,0
"2015","30","23",3,32.3066666666667,14.0023668946788,0,0,0,0
"2015","30","24",15,97.106,233.419533224211,0,0,0,1
"2015","30","25",0,0,0,0,0,0,0
"2015","30","26",0,0,0,0,0,0,0
"2015","30","27",22,29.0881818181818,57.4315825174307,0,0,0,0
"2015","30","29",0,0,0,0,0,0,0
"2015","30","30",3,2.90666666666667,8.37881521929062,0,0,0,0
"2015","30","32",43,11.2855813953488,320.355812080097,1,1,1,1
"2015","30","33",18,29.7038888888889,33.7222136872553,0,0,0,0
"2015","30","34",0,0,0,0,0,0,0
