"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,27,34,"PALENCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,9.07,24.49,17,9.51,3.56,60.5,"27:34"
2007,27,36,"PONTEVEDRA",1,8,0,0,1,0,0,0,0,0,0,0,0.2,0.2,0,0,1,468.11,1023.76,26.14,17.85,10.16,22.86,18.35,13.81,2.61,68,"27:36"
2007,27,37,"SALAMANCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,13.29,28.45,20.11,11.76,2.73,48,"27:37"
2007,27,40,"SEGOVIA",2.67,12.67,0,4.33,1.33,0,0,1,0,0,0,1,2.22,0,2.22,0,3,2525.43,3658.71,22.2,4.1,11.94,28.53,21.1,13.66,3.32,44,"27:40"
2007,27,41,"SEVILLA",3.13,9,2,0.25,1.13,0,0,0,0,0,0.13,0.5,5.75,0.08,3.67,2,5,756.47,2268.43,23.6,0,12.86,36.65,28.1,19.54,2.56,46,"27:41"
2007,27,42,"SORIA",6,20,2,0.5,2,0,1.5,0.5,0,1.5,0,1.5,14.61,0.5,0.11,14,2,3879.58,6078.86,15.14,20.6,11.33,27.23,18.86,10.49,3.13,53,"27:42"
2007,27,43,"TARRAGONA",1.92,50.25,2.92,2.58,12.13,0,0.08,0.08,0.17,1,1.08,0,509.25,33.75,315.1,160.4,7,1033.71,2428.29,22.01,0,12.8,29.06,23.83,18.6,3.34,54,"27:43"
2007,27,44,"TERUEL",1.5,11.5,2,12.5,1,0,0,0,0,0,0,0.5,0.23,0,0.23,0,2,6030.36,6777.97,20.64,0,11.9,30.88,22.72,14.58,2.76,46.5,"27:44"
2007,27,45,"TOLEDO",1.25,11,1.5,6.75,2.5,0,0,0,0,0,0.5,0,6.9,0,4.9,2,4,2512.99,3914.66,19.45,0.3,13.54,32.12,24.7,17.27,2.28,42,"27:45"
2007,27,46,"VALENCIA",1,9,4,0,1,0,0,0,0,0,0,0,2.6,0,0.1,2.5,1,549.61,952.45,12.61,0.03,11.79,30.47,24.59,18.7,2.69,57,"27:46"
2007,27,47,"VALLADOLID",3,8,6,0,2,0,1,0,0,0,0,0,1.04,0,1.04,0,1,4528.47,5957.39,16.33,1.47,12.97,29.09,20.68,12.26,2.7,52,"27:47"
2007,27,49,"ZAMORA",1.13,3.46,0.29,1.83,0.88,0,0,0,0,0,0.13,0.25,10.14,0,10.14,0,8,846.91,2263.43,23.86,0,12.83,29.97,21.97,13.97,2.79,42,"27:49"
2007,27,50,"ZARAGOZA",2.5,16.5,2,19.5,2,0,6.5,0,0,0,0,1,7.37,0,0.23,7.14,2,4049.58,5325.92,24.23,0.65,12.44,30.2,22.44,14.69,3.57,43,"27:50"
