"anho"|"semana"|"id_provincia"|"provincia"|"personal_tecnicos"|"personal_brigadas"|"personal_fuerzas_orden"|"personal_otros"|"medios_autobomba"|"medios_bulldozer"|"medios_tractores"|"medios_otros"|"aereos_aviones_anfibios"|"aereos_aviones_carga"|"aereos_helicopteros_exticion"|"aereos_helicopteros_transporte"|"total"|"totalar"|"totalnar"|"supernf"|"num_incendios"|"dist_1_nearest_buildup"|"dist_10_nearest_buildup"
2007|2|6|"BADAJOZ"|2.0|7.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0|1|2487.45|5286.12
2007|2|8|"BARCELONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|9|"BURGOS"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|10|"CACERES"|1.5|6.5|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.1|0.0|4.1|0|2|4446.4|6384.53
2007|2|11|"CADIZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|12|"CASTELLON"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|13|"CIUDAD REAL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|14|"CORDOBA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|15|"A CORUÑA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|16|"CUENCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|17|"GIRONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|18|"GRANADA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|19|"GUADALAJARA"|1.0|2.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.32|0.0|0.32|0|1|1285.69|3584.81
2007|2|21|"HUELVA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|22|"HUESCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|23|"JAEN"|2.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.24|0.1|0.14|0|1|1902.37|3416.94
2007|2|24|"LEON"|1.58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|21.5|0.0|21.5|0|8|708.73|1970.03
2007|2|25|"LLEIDA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|26|"LA RIOJA"|2.5|2.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.41|0.0|0.41|0|2|1535.72|2459.49
2007|2|27|"LUGO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|29|"MALAGA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|30|"MURCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|32|"OURENSE"|0.5|4.5|0.0|1.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.2|0.0|1.2|0|2|1456.31|2311.71
